reaction_id	flux_value	classification	y_f	y_r
rxn10210_c	0.0	low	1.0	0.0
rxn00278_c	0.0	low	1.0	0.0
rxn01476_c	0.0	low	1.0	0.0
rxn00205_c	1.0	high	1.0	0.0
rxn03146_c	0.0	low	1.0	0.0
rxn02789_c	0.0	moderate		
rxn01370_c	0.0	low	1.0	0.0
rxn00988_c	0.0	low	1.0	0.0
rxn00410_c	1.0	high	1.0	0.0
rxn01333_c	0.0	moderate		
rxn10257_c	0.0	moderate		
rxn06586_c	0.0	low	1.0	0.0
rxn12510_c	0.0	moderate		
rxn03933_c	0.0			
rxn05342_c	0.0	low	1.0	0.0
rxn05072_c	0.0	high	0.0	0.0
rxn00307_c	0.0	moderate		
rxn00414_c	0.0	high	0.0	0.0
rxn08123_c	0.0	low	1.0	0.0
rxn09110_c	0.0	low	1.0	0.0
rxn05349_c	0.0	low	1.0	0.0
rxn00303_c	0.0	high	0.0	0.0
rxn00799_c	-499.85714			
rxn07439_c	0.0	moderate		
rxn01073_c	0.0	low	1.0	0.0
rxn02405_c	0.0	low	1.0	0.0
rxn00011_c	0.0	moderate		
rxn07430_c	0.0	low	1.0	0.0
rxn02200_c	0.0	moderate		
rxn00602_c	0.0	moderate		
rxn01069_c	0.0	moderate		
rxn05528_c	0.0	low	1.0	0.0
rxn00791_c	0.0	low	1.0	0.0
